backbone,batch_size,img_size,carrot_lambda,carrot_alpha,carrot_topm,carrot_conf_topk,carrot_warmup_epochs,seed,accuracy
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,16,384,0.2,20,40,20,10,42,?
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,32,384,0.2,20,40,20,10,42,?
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,64,384,0.2,20,40,20,10,42,?
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,128,384,0.2,20,40,20,10,42,?
mobilenetv4_conv_medium.e250_r384_in12k_ft_in1k,256,384,0.2,20,40,20,10,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,16,384,0.2,20,40,20,10,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,32,384,0.2,20,40,20,10,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,64,384,0.2,20,40,20,10,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,128,384,0.2,20,40,20,10,42,?
xcit_tiny_12_p8_384.fb_dist_in1k,256,384,0.2,20,40,20,10,42,?
edgenext_small.usi_in1k,16,384,0.2,20,40,20,10,42,?
edgenext_small.usi_in1k,32,384,0.2,20,40,20,10,42,?
edgenext_small.usi_in1k,64,384,0.2,20,40,20,10,42,?
edgenext_small.usi_in1k,128,384,0.2,20,40,20,10,42,?
edgenext_small.usi_in1k,256,384,0.2,20,40,20,10,42,?
efficientnet_b1.ra4_e3600_r240_in1k,16,240,0.2,20,40,20,10,42,?
efficientnet_b1.ra4_e3600_r240_in1k,32,240,0.2,20,40,20,10,42,?
efficientnet_b1.ra4_e3600_r240_in1k,64,240,0.2,20,40,20,10,42,?
efficientnet_b1.ra4_e3600_r240_in1k,128,240,0.2,20,40,20,10,42,?
efficientnet_b1.ra4_e3600_r240_in1k,256,240,0.2,20,40,20,10,42,?
densenet121.ra_in1k,16,512,0.2,20,40,20,10,42,?
densenet121.ra_in1k,32,512,0.2,20,40,20,10,42,?
densenet121.ra_in1k,64,512,0.2,20,40,20,10,42,?
densenet121.ra_in1k,128,512,0.2,20,40,20,10,42,?
densenet121.ra_in1k,256,512,0.2,20,40,20,10,42,?
densenet121.ra_in1k,16,288,0.2,20,40,20,10,42,?
densenet121.ra_in1k,32,288,0.2,20,40,20,10,42,?
densenet121.ra_in1k,64,288,0.2,20,40,20,10,42,?
densenet121.ra_in1k,128,288,0.2,20,40,20,10,42,?
densenet121.ra_in1k,256,288,0.2,20,40,20,10,42,?